Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34,419,7,4,1,1,0,53,3,3,2,1,11994,21293,0,1,0,11,3,3,80,13,3,12,6,2,11,No
21,391,15,2,1,3,1,96,3,1,4,1,1232,19281,1,1,0,14,3,4,80,0,3,0,0,0,0,No
34,699,6,1,1,2,1,83,3,1,1,1,2960,17102,2,1,0,11,3,3,80,8,3,4,2,1,3,Yes
53,1282,5,3,1,3,0,58,3,5,3,3,19094,10735,4,1,0,11,3,4,80,26,2,14,13,4,8,No
32,1125,16,1,1,2,0,72,1,1,1,1,3919,4681,1,1,1,22,4,2,80,10,3,10,2,6,7,Yes
42,691,8,4,1,3,1,48,3,2,2,2,6825,21173,0,1,0,11,3,4,80,10,3,9,7,4,2,No
44,477,7,4,1,1,0,42,2,3,4,2,10248,2094,3,1,0,14,3,4,80,24,3,22,6,5,17,No
46,705,2,4,1,2,0,83,3,5,1,1,18947,22822,3,1,0,12,3,4,80,22,2,2,2,2,1,No
33,924,2,3,1,3,1,78,3,1,4,1,2496,6670,4,1,0,11,3,4,80,7,3,1,1,0,0,No
44,1459,10,4,1,4,1,41,3,2,4,2,6465,19121,2,1,1,13,3,4,80,9,4,4,2,1,3,No
30,125,9,2,1,4,1,83,2,1,3,1,2206,16117,1,1,0,13,3,1,80,10,3,10,0,1,8,No
39,895,5,3,1,4,1,56,3,2,4,2,2086,3335,3,1,0,14,3,3,80,19,4,1,0,0,0,Yes
24,813,1,3,1,2,1,61,3,1,4,2,2293,3020,2,1,1,16,3,1,80,6,2,2,0,2,0,Yes
43,1273,2,2,1,4,0,72,4,1,3,3,2645,21923,1,1,0,12,3,4,80,6,2,5,3,1,4,No
50,869,3,2,1,1,1,86,2,1,3,2,2683,3810,1,1,1,14,3,3,80,3,3,3,2,0,2,Yes
35,890,2,3,1,4,0,97,3,1,4,2,2014,9687,1,1,0,13,3,1,80,2,3,2,2,2,2,No
36,852,5,4,1,2,0,82,2,1,1,2,3419,13072,9,1,1,14,3,4,80,6,4,1,1,0,0,No
33,1141,1,3,1,3,0,42,4,2,1,2,5376,3193,2,1,0,19,3,1,80,10,3,5,3,1,3,No
35,464,4,2,1,3,1,75,3,1,4,3,1951,10910,1,1,0,12,3,3,80,1,3,1,0,0,0,No
27,1240,2,4,1,4,0,33,3,1,1,3,2341,19715,1,1,0,13,3,4,80,1,3,1,0,0,0,No
26,1357,25,3,1,1,1,48,1,1,3,1,2293,10558,1,1,0,12,3,3,80,1,2,1,0,0,1,Yes
27,994,8,3,1,4,1,37,3,3,3,1,8726,2975,1,1,0,15,3,4,80,9,3,9,8,1,7,No
30,721,1,2,1,3,0,58,3,2,4,1,4011,10781,1,1,0,23,4,4,80,12,3,12,8,3,7,No
41,1360,12,3,1,2,0,49,3,5,3,2,19545,16280,1,1,0,12,3,4,80,23,3,22,15,15,8,Yes
34,1065,23,4,1,2,1,72,3,2,3,1,4568,10034,0,1,0,20,4,3,80,10,3,9,5,8,7,No
37,408,19,2,1,2,1,73,3,1,2,2,3022,10227,4,1,0,21,4,1,80,8,3,1,0,0,0,No
46,1211,5,4,1,1,1,98,3,2,4,1,5772,20445,4,1,1,21,4,3,80,14,3,9,6,0,8,No
35,1229,8,1,1,4,1,36,4,1,4,2,2269,4892,1,1,0,19,3,4,80,1,3,1,0,0,1,No
48,626,1,2,1,1,1,98,2,3,3,1,5381,19294,9,1,1,13,3,4,80,23,3,1,0,0,0,Yes
28,1434,5,4,1,3,1,50,3,1,3,1,3441,11179,1,1,1,13,3,3,80,2,2,2,2,2,2,Yes
44,1488,1,5,1,2,0,75,3,2,1,3,5454,4009,5,1,1,21,4,3,80,9,2,4,3,1,3,No
35,1097,11,2,1,3,1,79,2,3,1,2,9884,8302,2,1,1,13,3,3,80,10,3,4,0,2,3,No
26,1443,23,3,1,3,0,47,2,2,4,2,4157,21436,7,1,1,19,3,3,80,5,2,2,2,0,0,No
33,515,1,2,1,1,0,98,3,3,4,1,13458,15146,1,1,1,12,3,3,80,15,3,15,14,8,12,No
35,853,18,5,1,2,1,71,3,3,1,2,9069,11031,1,1,0,22,4,4,80,9,2,9,8,1,8,No
35,1142,23,4,1,3,0,30,3,1,1,2,4014,16002,3,1,1,15,3,3,80,4,3,2,2,2,2,No
31,655,7,4,1,4,1,48,3,2,4,3,5915,9528,3,1,0,22,4,4,80,10,2,7,7,1,7,No
37,1115,1,4,1,1,1,51,2,2,3,3,5993,2689,1,1,0,18,3,3,80,7,4,7,5,0,7,No
32,427,1,3,1,1,1,33,3,2,4,2,6162,10877,1,1,1,22,4,2,80,9,3,9,8,7,8,No
38,653,29,5,1,4,0,50,3,2,4,1,2406,5456,1,1,0,11,3,4,80,10,3,10,3,9,9,No
50,989,7,2,1,2,0,43,2,5,3,3,18740,16701,5,1,1,12,3,4,80,29,2,27,3,13,8,No
59,1435,25,3,1,1,0,99,3,3,1,1,7637,2354,7,1,0,11,3,4,80,28,2,21,16,7,9,No
36,1223,8,3,1,3,0,59,3,3,3,3,10096,8202,1,1,0,13,3,2,80,17,3,17,14,12,8,No
55,836,8,3,1,4,0,33,3,4,3,3,14756,19730,2,1,1,14,3,3,80,21,3,5,0,0,2,No
36,1195,11,3,1,2,1,95,2,2,2,1,6499,22656,1,1,0,13,3,3,80,6,3,6,5,0,3,No
45,1339,7,3,1,2,1,59,3,3,1,3,9724,18787,2,1,0,17,3,3,80,25,3,1,0,0,0,No
35,664,1,3,1,2,1,79,3,1,1,2,2194,5868,4,1,0,13,3,4,80,5,2,3,2,1,2,No
36,318,9,3,1,4,1,79,2,1,3,2,3388,21777,0,1,1,17,3,1,80,2,2,1,0,0,0,Yes
59,1225,1,1,1,1,0,57,2,2,3,1,5473,24668,7,1,0,11,3,4,80,20,2,4,3,1,3,No
29,1328,2,3,1,3,1,76,3,1,2,2,2703,4956,0,1,0,23,4,4,80,6,3,5,4,0,4,No
31,1082,1,4,1,3,1,87,3,1,2,1,2501,18775,1,1,0,17,3,2,80,1,3,1,1,1,0,No
32,548,1,3,1,2,1,66,3,2,2,2,6220,7346,1,1,0,17,3,2,80,10,3,10,4,0,9,No
36,132,6,3,1,2,0,55,4,1,4,2,3038,22002,3,1,0,12,3,2,80,5,3,1,0,0,0,No
31,746,8,4,1,3,0,61,3,2,4,1,4424,20682,1,1,0,23,4,4,80,11,3,11,7,1,8,No
35,776,1,4,1,3,1,32,2,2,1,1,4312,23016,0,1,0,14,3,2,80,16,3,15,13,2,8,No
45,193,6,4,1,4,1,52,3,3,1,2,13245,15067,4,1,1,14,3,2,80,17,4,0,0,0,0,No
37,397,7,4,1,1,1,30,3,3,3,1,13664,25258,4,1,0,13,3,1,80,16,4,5,2,0,2,No
46,945,5,2,1,2,1,80,3,2,2,3,5021,10425,8,1,1,22,4,4,80,16,3,4,2,0,2,No
30,852,1,1,1,4,1,55,2,2,4,2,5126,15998,1,1,1,12,3,3,80,10,2,10,8,3,0,No
35,1214,1,3,1,2,1,30,2,1,3,1,2859,26278,1,1,0,18,3,1,80,6,3,6,4,0,4,No
55,111,1,2,1,1,1,70,3,3,4,2,10239,18092,3,1,0,14,3,4,80,24,3,1,0,1,0,No
38,573,6,3,1,2,0,79,1,2,4,3,5329,15717,7,1,1,12,3,4,80,17,3,13,11,1,9,No
34,1153,1,2,1,1,1,94,3,2,2,2,4325,17736,1,1,0,15,3,3,80,5,3,5,2,1,3,No
56,1400,7,3,1,4,1,49,1,3,4,1,7260,21698,4,1,0,11,3,1,80,37,2,6,4,0,2,No
23,541,2,1,1,3,1,62,3,1,1,3,2322,9518,3,1,0,13,3,3,80,3,3,0,0,0,0,No
51,432,9,4,1,4,1,96,3,1,4,2,2075,18725,3,1,0,23,4,2,80,10,3,4,2,0,3,No
30,288,2,3,1,3,1,99,2,2,4,2,4152,15830,1,1,0,19,3,1,80,11,3,11,10,10,8,No
46,669,9,2,1,3,1,64,2,3,4,1,9619,13596,1,1,0,16,3,4,80,9,3,9,8,4,7,Yes
40,530,1,4,1,3,1,78,2,4,2,2,13503,14115,1,1,0,22,4,4,80,22,2,22,3,11,11,No
51,632,21,4,1,3,1,71,3,2,4,1,5441,8423,0,1,1,22,4,4,80,11,1,10,7,1,0,No
30,1334,4,2,1,3,0,63,2,2,2,3,5209,19760,1,1,1,12,3,2,80,11,2,11,8,2,7,No
46,638,1,3,1,3,1,40,2,3,1,2,10673,3142,2,1,1,13,3,3,80,21,2,10,9,9,5,No
32,1093,6,4,1,2,1,87,3,2,3,1,5010,24301,1,1,0,16,3,1,80,12,3,11,8,5,7,No
54,1217,2,4,1,1,0,60,3,3,3,2,13549,24001,9,1,0,12,3,1,80,16,1,4,3,0,3,No
24,1353,3,2,1,1,0,33,3,2,3,2,4999,17519,0,1,0,21,4,1,80,4,2,3,2,0,2,No
28,120,4,3,1,2,1,43,3,2,3,2,4221,8863,1,1,0,15,3,2,80,5,4,5,4,0,4,No
58,682,10,4,1,4,1,37,3,4,3,1,13872,24409,0,1,0,13,3,3,80,38,2,37,10,1,8,No
44,489,23,3,1,2,1,67,3,2,2,2,2042,25043,4,1,0,12,3,3,80,17,4,3,2,1,2,No
37,807,6,4,1,3,1,63,3,1,1,3,2073,23648,4,1,1,22,4,4,80,7,3,3,2,0,2,Yes
32,827,1,1,1,4,1,71,3,1,1,1,2956,15178,1,1,0,13,3,4,80,1,3,1,0,0,0,No
20,871,6,3,1,4,0,66,2,1,4,1,2926,19783,1,1,1,18,3,2,80,1,3,1,0,1,0,Yes
34,665,6,4,1,1,0,41,3,2,3,1,4809,12482,1,1,0,14,3,3,80,16,3,16,13,2,10,No
37,1040,2,2,1,3,1,100,2,2,4,3,5163,15850,5,1,0,14,3,4,80,17,4,1,0,0,0,No
59,1420,2,4,1,3,0,32,2,5,4,2,18844,21922,9,1,0,21,4,4,80,30,3,3,2,2,2,No
50,1115,1,3,1,1,0,73,3,5,2,2,18172,9755,3,1,1,19,3,1,80,28,2,8,3,0,7,No
25,240,5,3,1,3,1,46,2,2,3,1,5744,26959,1,1,1,11,3,4,80,6,3,6,4,0,3,Yes
25,1280,7,1,1,4,1,64,2,1,4,2,2889,26897,1,1,0,11,3,3,80,2,3,2,2,2,1,No
22,534,15,3,1,2,0,59,3,1,4,1,2871,23785,1,1,0,15,3,3,80,1,3,0,0,0,0,No
51,1456,1,4,1,1,0,30,2,3,1,1,7484,25796,3,1,0,20,4,3,80,23,2,13,12,12,8,No
34,658,7,3,1,1,1,66,1,2,3,1,6074,22887,1,1,1,24,4,4,80,9,3,9,7,0,6,Yes
54,142,26,3,1,4,0,30,4,4,4,1,17328,13871,2,1,1,12,3,3,80,23,3,5,3,4,4,No
24,1127,18,1,1,2,1,52,3,1,3,2,2774,13257,0,1,0,12,3,3,80,6,3,5,3,1,2,No
34,1031,6,4,1,3,0,45,2,2,2,3,4505,15000,6,1,0,15,3,3,80,12,3,1,0,0,0,No
37,1189,3,3,1,3,1,87,3,3,4,1,7428,14506,2,1,0,12,3,1,80,12,3,5,3,1,3,No
34,1354,5,3,1,3,0,45,2,3,1,1,11631,5615,2,1,0,12,3,4,80,14,3,11,10,5,8,No
36,1467,11,2,1,2,0,92,3,3,4,2,9738,22952,0,1,0,14,3,3,80,10,3,9,7,2,8,No
36,922,3,2,1,1,0,39,3,1,4,3,2835,2561,5,1,0,22,4,1,80,7,3,1,0,0,0,No
43,394,26,2,1,3,1,92,3,4,4,2,16959,19494,1,1,1,12,3,4,80,25,4,25,12,4,12,No
30,1312,23,3,1,1,1,96,1,1,3,3,2613,22310,1,1,0,25,4,3,80,10,2,10,7,0,9,No
33,750,22,2,1,3,1,95,3,2,2,2,6146,15480,0,1,0,13,3,1,80,8,4,7,7,0,7,No
56,441,14,4,1,2,0,72,3,1,2,2,4963,4510,9,1,1,18,3,1,80,7,3,5,4,4,3,Yes
51,684,6,3,1,1,1,51,3,5,3,1,19537,6462,7,1,0,13,3,3,80,23,3,20,18,15,15,No
31,249,6,4,1,2,1,76,1,2,3,2,6172,20739,4,1,1,18,3,2,80,12,2,7,7,7,7,Yes
26,841,6,3,1,3,0,46,2,1,2,2,2368,23300,1,1,0,19,3,3,80,5,2,5,4,4,3,No
58,147,23,4,1,4,0,94,3,3,4,2,10312,3465,1,1,0,12,3,4,80,40,2,40,10,15,6,Yes
19,528,22,1,1,4,1,50,3,1,3,1,1675,26820,1,1,1,19,3,4,80,0,2,0,0,0,0,Yes
22,594,2,1,1,3,1,100,3,1,4,2,2523,19299,0,1,0,14,3,3,80,3,3,2,1,2,1,No
49,470,20,4,1,3,0,96,3,2,1,2,6567,5549,1,1,0,14,3,3,80,16,2,15,11,5,11,No
43,957,28,3,1,2,0,72,4,1,3,1,4739,16090,4,1,0,12,3,4,80,18,3,3,2,1,2,No
50,809,12,3,1,3,0,77,3,3,4,1,9208,6645,4,1,0,11,3,4,80,16,3,2,2,2,1,No
31,542,20,3,1,2,0,71,1,2,3,2,4559,24788,3,1,1,11,3,3,80,4,3,2,2,2,2,Yes
41,802,9,1,1,3,1,96,3,3,3,3,8189,21196,3,1,1,13,3,3,80,12,3,9,7,0,7,No
26,1355,25,1,1,3,0,61,3,1,3,2,2942,8916,1,1,0,23,4,4,80,8,3,8,7,5,7,No
36,216,6,2,1,2,1,84,3,2,2,3,4941,2819,6,1,0,20,4,4,80,7,3,3,2,0,1,No
51,1150,8,4,1,1,1,53,1,3,4,1,10650,25150,2,1,0,15,3,4,80,18,3,4,2,0,3,Yes
39,1329,4,4,1,4,0,47,2,2,3,2,5902,14590,4,1,0,14,3,3,80,17,4,15,11,5,9,No
25,959,28,3,1,1,1,41,2,2,3,2,8639,24835,2,1,0,18,3,4,80,6,3,2,2,2,2,No
30,1240,9,3,1,3,1,48,3,2,4,2,6347,13982,0,1,1,19,3,4,80,12,1,11,9,4,7,No
32,1033,9,3,1,1,0,41,3,1,1,1,4200,10224,7,1,0,22,4,1,80,10,4,5,4,0,4,Yes
45,1316,29,3,1,3,1,83,3,1,4,1,3452,9752,5,1,0,13,3,2,80,9,2,6,5,0,3,No
38,364,3,5,1,4,0,32,3,2,3,1,4317,2302,3,1,1,20,4,2,80,19,3,3,2,2,2,No
30,438,18,3,1,1,0,75,3,1,3,1,2632,23910,1,1,0,14,3,3,80,5,2,5,4,0,4,No
32,689,9,2,1,4,1,35,1,2,4,3,4668,22812,0,1,0,17,3,4,80,9,4,8,7,0,7,No
30,201,5,3,1,4,0,84,3,1,1,3,3204,10415,5,1,0,14,3,4,80,8,3,3,2,2,2,No
30,1427,2,1,1,2,1,35,2,1,4,1,2720,11162,0,1,0,13,3,4,80,6,3,5,3,1,2,No
41,857,10,3,1,4,1,91,2,4,1,3,17181,12888,4,1,0,13,3,2,80,21,2,7,6,7,7,No
41,933,9,4,1,3,1,94,3,1,1,2,2238,6961,2,1,0,21,4,4,80,7,3,5,0,1,4,No
19,1181,3,1,1,2,0,79,3,1,2,1,1483,16102,1,1,0,14,3,4,80,1,3,1,0,0,0,No
40,1395,26,3,1,2,0,54,3,2,2,3,5605,8504,1,1,0,11,3,1,80,20,3,20,7,2,13,No
35,662,1,5,1,3,1,94,3,3,2,2,7295,11439,1,1,0,13,3,1,80,10,3,10,8,0,6,No
53,1436,6,2,1,2,1,34,3,2,3,2,2306,16047,2,1,1,20,4,4,80,13,1,7,7,4,5,No
45,194,9,3,1,2,1,60,3,2,2,3,2348,10901,8,1,0,18,3,3,80,20,1,17,9,0,15,No
32,967,8,3,1,2,0,43,3,3,4,1,8998,15589,1,1,0,14,3,4,80,9,3,9,8,3,7,No
29,1496,1,1,1,4,1,41,3,2,3,2,4319,26283,1,1,0,13,3,1,80,10,3,10,7,0,9,No
51,1169,7,4,1,2,1,34,2,2,3,2,6132,13983,2,1,0,17,3,3,80,10,3,1,0,0,0,No
58,1145,9,3,1,2,0,75,2,1,2,2,3346,11873,4,1,1,20,4,2,80,9,2,1,0,0,0,No
40,630,4,4,1,3,1,67,2,3,4,2,10855,8552,7,1,0,11,3,1,80,15,2,12,11,2,11,No
34,303,2,4,1,3,0,75,3,1,3,2,2231,11314,6,1,0,18,3,4,80,6,3,4,3,1,2,No
22,1256,19,1,1,3,1,80,3,1,4,2,2323,11992,1,1,0,24,4,1,80,2,3,2,2,2,2,No
27,691,9,3,1,4,1,57,3,1,2,3,2024,5970,6,1,0,18,3,4,80,6,1,2,2,2,2,No
28,440,21,3,1,3,1,42,3,1,4,2,2713,6672,1,1,0,11,3,3,80,5,1,5,2,0,2,No
57,334,24,2,1,3,1,83,4,3,4,3,9439,23402,3,1,1,16,3,2,80,12,1,5,3,1,4,No
27,1450,3,3,1,3,1,79,2,1,3,3,2566,25326,1,1,1,15,3,4,80,1,2,1,1,0,1,No
50,1452,11,3,1,3,0,53,3,5,2,1,19926,17053,3,1,0,15,3,2,80,21,3,5,4,4,4,No
41,465,14,3,1,1,1,56,3,1,3,3,2451,4609,4,1,0,12,3,1,80,13,3,9,8,1,8,No
30,1339,5,3,1,2,0,41,3,3,4,2,9419,8053,2,1,0,12,3,3,80,12,3,10,9,7,4,No
38,702,1,4,1,1,0,59,2,2,4,1,8686,12930,4,1,0,22,4,3,80,12,4,8,3,0,7,No
32,120,6,5,1,3,1,43,3,1,3,1,3038,12430,3,1,0,20,4,1,80,8,3,5,4,1,4,No
27,1157,17,3,1,3,1,51,3,1,2,2,3058,13364,0,1,1,16,3,4,80,6,2,5,2,1,1,No
19,602,1,1,1,3,0,100,1,1,1,1,2325,20989,0,1,0,21,4,1,80,1,4,0,0,0,0,Yes
36,1480,3,2,1,4,1,30,3,1,2,1,2088,15062,4,1,0,12,3,3,80,13,2,8,7,7,2,No
30,111,9,3,1,3,1,66,3,2,1,3,3072,11012,1,1,0,11,3,3,80,12,3,12,9,6,10,No
45,1268,4,2,1,3,0,30,3,2,1,3,5006,6319,4,1,1,11,3,1,80,9,4,5,4,0,3,No
56,713,8,3,1,3,0,67,3,1,1,3,4257,13939,4,1,1,18,3,3,80,19,3,2,2,2,2,No
33,134,2,3,1,3,1,90,3,1,4,1,2500,10515,0,1,0,14,3,1,80,4,4,3,1,0,2,No
19,303,2,3,1,2,1,47,2,1,4,1,1102,9241,1,1,0,22,4,3,80,1,2,1,0,1,0,Yes
46,526,1,2,1,2,0,92,3,3,1,3,10453,2137,1,1,0,25,4,3,80,24,3,24,13,15,7,No
38,1380,9,2,1,3,0,75,3,1,4,1,2288,6319,1,1,0,12,3,3,80,2,3,2,2,2,1,No
31,140,12,1,1,3,0,95,3,1,4,2,3929,6984,8,1,1,23,4,3,80,7,3,4,2,0,2,No
34,629,27,2,1,4,0,95,3,1,2,1,2311,5711,2,1,0,15,3,4,80,9,3,3,2,1,2,No
41,1356,20,2,1,2,0,70,3,1,2,1,3140,21728,1,1,1,22,4,4,80,4,2,4,3,0,2,Yes
50,328,1,3,1,3,1,86,2,1,3,2,3690,3425,2,1,0,15,3,4,80,5,2,3,2,0,2,No
53,1084,13,2,1,4,0,57,4,2,1,3,4450,26250,1,1,0,11,3,3,80,5,3,4,2,1,3,No
33,931,14,3,1,4,0,72,3,1,2,2,2756,4673,1,1,0,13,3,4,80,8,3,8,7,1,6,No
40,989,4,1,1,4,0,46,3,5,3,2,19033,6499,1,1,0,14,3,2,80,21,3,20,8,9,9,No
55,692,14,4,1,3,1,61,4,5,2,1,18722,13339,8,1,0,11,3,4,80,36,3,24,15,2,15,No
34,1069,2,1,1,4,1,45,2,2,3,2,9547,14074,1,1,0,17,3,3,80,10,2,10,9,1,9,No
51,313,3,3,1,4,0,98,3,4,2,1,13734,7192,3,1,0,18,3,3,80,21,3,7,7,1,0,No
52,699,1,4,1,3,1,65,2,5,3,2,19999,5678,0,1,0,14,3,1,80,34,3,33,18,11,9,No
27,894,9,3,1,4,0,99,3,1,2,1,2279,11781,1,1,0,16,3,4,80,7,2,7,7,0,3,No
35,556,23,2,1,2,1,50,2,2,3,2,5916,15497,3,1,1,13,3,1,80,8,3,1,0,0,1,Yes
43,1344,7,3,1,4,1,37,4,1,4,3,2089,5228,4,1,0,14,3,4,80,7,4,5,4,2,2,No
45,1195,2,2,1,1,1,65,2,4,4,2,16792,20462,9,1,0,23,4,4,80,22,3,20,8,11,8,No
37,290,21,3,1,2,1,65,4,1,1,2,3564,22977,1,1,1,12,3,1,80,8,2,8,7,1,7,No
35,138,2,3,1,2,0,37,3,2,2,1,4425,15986,5,1,0,11,3,4,80,10,3,6,2,1,2,No
42,926,21,2,1,3,0,36,3,2,3,3,5265,16439,2,1,0,16,3,2,80,11,3,5,3,0,2,No
38,1261,2,4,1,4,1,88,3,2,3,2,6553,7259,9,1,0,14,3,2,80,14,3,1,0,0,0,No
38,1084,29,3,1,4,1,54,3,2,4,2,6261,4185,3,1,0,18,3,1,80,9,1,7,7,1,7,No
27,472,1,1,1,3,1,60,2,2,1,2,4298,9679,5,1,0,19,3,3,80,6,3,2,2,2,0,No
49,1002,18,4,1,4,1,92,3,2,4,3,6804,23793,1,1,1,15,3,1,80,7,3,7,7,1,7,No
34,878,10,4,1,4,1,43,3,1,3,3,3815,5972,1,1,1,17,3,4,80,5,4,5,3,2,0,No
40,905,19,2,1,3,1,99,3,2,4,2,2741,16523,8,1,1,15,3,3,80,15,4,7,2,3,7,No
38,1180,29,1,1,2,1,70,3,2,1,2,6673,11354,7,1,1,19,3,2,80,17,3,1,0,0,0,Yes
29,121,27,3,1,2,0,35,3,3,4,2,7639,24525,1,1,0,22,4,4,80,10,2,10,4,1,9,Yes
22,1136,5,3,1,4,1,60,4,1,2,3,2328,12392,1,1,1,16,3,1,80,4,2,4,2,2,2,No
36,635,18,1,1,2,0,73,3,1,4,1,2153,7703,1,1,0,13,3,1,80,8,3,8,1,1,7,No
40,1151,9,5,1,4,1,63,2,2,4,2,4876,14242,9,1,0,14,3,4,80,5,1,3,2,0,2,No
46,644,1,4,1,4,1,97,3,3,1,3,9396,12368,7,1,0,16,3,3,80,17,3,4,2,0,3,No
32,1045,4,4,1,4,1,32,1,3,4,2,10400,25812,1,1,0,11,3,3,80,14,2,14,8,9,8,Yes
30,829,1,1,1,3,1,88,2,3,3,1,8474,20925,1,1,0,22,4,3,80,12,3,11,8,5,8,No
27,1242,20,3,1,4,0,90,3,2,3,1,9981,12916,1,1,0,14,3,4,80,7,3,7,7,0,7,No
51,1469,8,4,1,2,1,81,2,3,2,2,12490,15736,5,1,0,16,3,4,80,16,1,10,9,4,7,No
30,1005,3,3,1,4,0,88,3,1,1,1,2657,8556,5,1,1,11,3,3,80,8,3,5,2,0,4,Yes
41,896,6,3,1,4,0,75,3,3,4,1,13591,14674,3,1,1,18,3,3,80,16,3,1,0,0,0,No
30,334,26,4,1,3,0,52,2,2,1,1,6696,22967,5,1,0,15,3,3,80,9,2,6,3,0,1,Yes
29,992,1,3,1,3,1,85,3,1,3,1,2058,19757,0,1,0,14,3,4,80,7,2,6,2,1,5,Yes
45,1052,6,3,1,4,0,57,2,3,4,1,8865,16840,6,1,0,12,3,4,80,23,3,19,7,12,8,No
54,1147,3,3,1,4,0,52,3,2,1,2,5940,17011,2,1,0,14,3,4,80,16,3,6,2,0,5,No
36,1396,5,2,1,4,1,62,3,2,2,1,5914,9945,8,1,0,16,3,4,80,16,4,13,11,3,7,No
33,147,4,4,1,3,0,47,2,1,2,2,2622,13248,6,1,0,21,4,4,80,7,3,3,2,1,1,No
37,663,11,3,1,2,1,47,3,3,4,3,12185,10056,1,1,1,14,3,3,80,10,3,10,8,0,7,No
38,119,3,3,1,1,1,76,3,3,3,3,10609,9647,0,1,0,12,3,3,80,17,2,16,10,5,13,No
31,979,1,4,1,3,1,90,1,2,3,2,4345,4381,0,1,0,12,3,4,80,6,3,5,4,1,4,No
59,142,3,3,1,3,1,70,2,1,4,2,2177,8456,3,1,0,17,3,1,80,7,3,1,0,0,0,No
37,319,4,4,1,1,1,41,3,1,4,3,2793,2539,4,1,0,17,3,3,80,13,3,9,8,5,8,No
29,1413,1,1,1,2,0,42,3,3,4,2,7918,6599,1,1,0,14,3,4,80,11,3,11,10,4,1,No
35,944,1,3,1,3,0,92,3,3,3,1,8789,9096,1,1,0,14,3,1,80,10,4,10,7,0,8,No
29,896,18,1,1,3,1,86,2,1,4,1,2389,14961,1,1,1,13,3,3,80,4,2,4,3,0,1,Yes
