Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
33,1099,4,4,1,1,0,82,2,1,2,2,3838,8192,8,1,0,11,3,4,80,8,3,5,4,0,2,No
47,571,14,3,1,3,0,78,3,2,3,2,4591,24200,3,1,1,17,3,3,80,11,2,5,4,1,2,No
28,289,2,2,1,3,1,38,2,1,1,1,2561,5355,7,1,0,11,3,3,80,8,2,0,0,0,0,Yes
28,1423,1,3,1,1,1,72,2,1,3,3,1563,12530,1,1,0,14,3,4,80,1,1,1,0,0,0,No
28,467,7,3,1,3,1,55,3,2,1,1,4898,11827,0,1,0,14,3,4,80,5,3,4,2,1,3,No
49,271,3,2,1,3,0,43,2,2,1,2,4789,23070,4,1,0,25,4,1,80,10,3,3,2,1,2,No
29,410,2,1,1,4,0,97,3,1,2,2,3180,4668,0,1,0,13,3,3,80,4,3,3,2,0,2,No
28,1083,29,1,1,3,1,96,1,2,2,2,6549,3173,1,1,0,14,3,2,80,8,2,8,6,1,7,No
33,516,8,5,1,4,1,69,3,2,3,1,6388,22049,2,1,1,17,3,1,80,14,3,0,0,0,0,No
32,495,10,3,1,3,1,64,3,3,4,1,11244,21072,2,1,0,25,4,2,80,10,4,5,2,0,0,No
54,1050,11,4,1,2,0,87,3,4,4,3,16032,24456,3,1,0,20,4,1,80,26,3,14,9,1,12,No
29,224,1,4,1,1,1,100,2,1,1,1,2362,7568,6,1,0,13,3,3,80,11,1,9,7,0,7,Yes
44,136,28,3,1,4,1,32,3,4,1,2,16328,22074,3,1,0,13,3,3,80,24,4,20,6,14,17,No
39,1089,6,3,1,2,0,32,3,3,2,1,8376,9150,4,1,0,18,3,4,80,9,3,2,0,2,2,No
46,228,3,3,1,3,0,51,3,4,2,2,16606,11380,8,1,0,12,3,4,80,23,4,13,12,5,1,No
35,1029,16,3,1,4,0,91,2,3,2,1,8606,21195,1,1,0,19,3,4,80,11,1,11,8,3,3,No
23,507,20,1,1,1,1,97,3,2,3,1,2272,24812,0,1,0,14,3,2,80,5,3,4,3,1,2,No
40,676,9,4,1,4,1,86,3,1,1,1,2018,21831,3,1,0,14,3,2,80,15,1,5,4,1,0,Yes
34,971,1,3,1,4,1,64,2,3,3,2,7083,12288,1,1,1,14,3,4,80,10,3,10,9,8,6,No
31,561,3,3,1,4,0,33,3,1,3,1,4084,4156,1,1,0,12,3,1,80,7,1,7,2,7,7,Yes
50,333,22,5,1,3,1,88,1,4,4,1,14411,24450,1,1,1,13,3,4,80,32,3,32,6,13,9,No
34,1440,7,2,1,2,1,55,3,1,3,2,2308,4944,0,1,1,25,4,2,80,12,3,11,10,5,7,No
42,1210,2,3,1,3,1,68,2,1,2,2,4841,24052,4,1,0,14,3,2,80,4,3,1,0,0,0,No
37,674,13,3,1,1,1,47,3,2,4,2,4285,3031,1,1,0,17,3,1,80,10,3,10,8,3,7,No
29,441,8,1,1,3,0,39,1,2,1,2,9715,7288,3,1,0,13,3,3,80,9,3,7,7,0,7,No
33,575,25,3,1,4,1,44,2,2,2,1,4320,24152,1,1,0,13,3,4,80,5,3,5,3,0,2,No
45,950,28,3,1,4,1,97,3,1,4,2,2132,4585,4,1,0,20,4,4,80,8,3,5,4,0,3,No
42,288,2,3,1,4,1,40,3,3,4,2,10124,18611,2,1,1,14,3,3,80,24,1,20,8,13,9,No
40,1342,9,2,1,1,1,47,3,2,1,2,5473,19345,0,1,0,12,3,4,80,9,4,8,4,7,1,No
33,589,28,4,1,2,1,79,3,2,3,2,5207,22949,1,1,1,12,3,2,80,15,3,15,14,5,7,No
40,898,6,2,1,3,1,38,3,4,4,1,16437,17381,1,1,1,21,4,4,80,21,3,21,7,7,7,No
24,350,21,2,1,3,1,57,2,1,1,3,2296,10036,0,1,0,14,3,2,80,2,3,1,1,0,0,No
40,1142,8,2,1,4,1,72,3,2,4,3,4069,8841,3,1,1,18,3,3,80,8,3,2,2,2,2,No
45,538,1,4,1,1,1,66,3,3,2,3,7441,20933,1,1,0,12,3,1,80,10,3,10,8,7,7,No
35,1402,28,4,1,2,0,98,2,1,3,2,2430,26204,0,1,0,23,4,1,80,6,3,5,3,4,2,No
32,824,5,2,1,4,0,67,2,2,2,2,5878,15624,3,1,0,12,3,1,80,12,3,7,1,2,5,No
36,1157,2,4,1,3,1,70,3,1,4,1,2644,17001,3,1,1,21,4,4,80,7,2,3,2,1,2,No
48,492,16,4,1,3,0,96,3,2,3,3,6439,13693,8,1,0,14,3,3,80,18,3,8,7,7,7,No
29,598,9,3,1,3,1,91,4,1,3,2,2451,22376,6,1,0,18,3,1,80,5,2,1,0,0,0,No
33,1242,8,4,1,1,1,46,3,2,1,2,6392,10589,2,1,0,13,3,4,80,8,1,2,2,2,2,No
30,740,1,3,1,2,1,64,2,2,1,2,9714,5323,1,1,0,11,3,4,80,10,3,10,8,6,7,Yes
38,888,10,4,1,3,1,71,3,2,3,2,6077,14814,3,1,0,11,3,3,80,10,3,6,3,1,2,No
35,992,1,3,1,4,1,68,2,1,1,1,2450,21731,1,1,0,19,3,2,80,3,3,3,0,1,2,No
30,1288,29,4,1,3,1,33,3,3,2,2,9250,17799,3,1,0,12,3,2,80,9,3,4,2,1,3,No
35,104,2,3,1,1,0,69,3,1,1,3,2074,26619,1,1,1,12,3,4,80,1,3,1,0,0,0,Yes
53,607,2,5,1,3,0,78,2,3,4,2,10169,14618,0,1,0,16,3,2,80,34,3,33,7,1,9,Yes
38,903,2,3,1,3,1,81,3,2,2,2,4855,7653,4,1,0,11,3,1,80,7,3,5,2,1,4,Yes
32,1200,1,4,1,4,1,62,3,2,1,2,4087,25174,4,1,0,14,3,2,80,9,2,6,5,1,2,No
48,1108,15,4,1,3,0,65,3,1,1,2,2367,16530,8,1,0,12,3,4,80,10,2,8,2,7,6,No
34,479,7,4,1,1,1,35,3,1,4,1,2972,22061,1,1,0,13,3,3,80,1,1,1,0,0,0,No
55,685,26,5,1,3,1,60,2,5,4,2,19586,23037,1,1,0,21,4,3,80,36,3,36,6,2,13,No
34,1351,1,4,1,2,1,45,3,2,4,2,5484,13008,9,1,0,17,3,2,80,9,2,2,2,2,1,No
26,474,3,3,1,1,0,89,3,1,4,2,2061,11133,1,1,0,21,4,1,80,1,3,1,0,0,0,No
38,1245,14,3,1,3,1,80,3,2,2,2,9924,12355,0,1,0,11,3,4,80,10,3,9,8,7,7,No
38,437,16,3,1,2,0,90,3,2,2,1,4198,16379,2,1,0,12,3,2,80,8,4,3,2,1,2,No
36,884,1,4,1,2,0,73,3,2,3,1,6815,21447,6,1,0,13,3,1,80,15,3,1,0,0,0,No
29,1370,3,1,1,2,1,87,3,1,1,1,4723,16213,1,1,1,18,3,4,80,10,3,10,9,1,5,No
35,670,10,4,1,1,0,51,3,2,3,1,6142,4223,3,1,1,16,3,3,80,10,3,5,2,0,4,No
39,1462,6,3,1,4,1,38,4,3,3,2,8237,4658,2,1,0,11,3,1,80,11,3,7,6,7,6,No
29,995,2,1,1,1,1,87,3,2,4,3,8853,24483,1,1,0,19,3,4,80,6,4,6,4,1,3,No
50,264,9,3,1,3,1,59,3,5,3,2,19331,19519,4,1,1,16,3,3,80,27,3,1,0,0,0,No
23,977,10,3,1,4,1,45,4,1,3,2,2073,12826,2,1,0,16,3,4,80,4,3,2,2,2,2,No
36,1302,6,4,1,1,1,80,4,2,1,2,5562,19711,3,1,1,13,3,4,80,9,3,3,2,0,2,No
42,1059,9,2,1,4,1,93,2,5,4,1,19613,26362,8,1,0,22,4,4,80,24,3,1,0,0,1,No
35,750,28,3,1,2,1,46,4,2,3,2,3407,25348,1,1,0,17,3,4,80,10,2,10,9,6,8,No
34,653,10,4,1,4,1,92,2,2,3,2,5063,15332,1,1,0,14,3,2,80,8,2,8,2,7,7,No
40,118,14,2,1,4,0,84,3,2,1,2,4639,11262,1,1,0,15,3,3,80,5,3,5,4,1,2,No
43,990,27,3,1,4,1,87,4,1,2,3,4876,5855,5,1,0,12,3,3,80,8,3,6,4,0,2,No
35,1349,7,2,1,3,1,63,2,1,4,2,2690,7713,1,1,0,18,3,4,80,1,2,1,0,0,1,No
46,563,1,4,1,4,1,56,4,4,1,1,17567,3156,1,1,0,15,3,2,80,27,1,26,0,0,12,No
28,329,24,3,1,3,1,51,3,1,2,2,2408,7324,1,1,1,17,3,3,80,1,3,1,1,0,0,Yes
22,457,26,2,1,2,0,85,2,1,3,2,2814,10293,1,1,1,14,3,2,80,4,2,4,2,1,3,No
50,1234,20,5,1,2,1,41,3,4,3,2,11245,20689,2,1,1,15,3,3,80,32,3,30,8,12,13,No
32,634,5,4,1,2,0,35,4,1,4,2,3312,18783,3,1,0,17,3,4,80,6,3,3,2,0,2,No
44,1313,7,3,1,2,0,31,3,5,4,3,19049,3549,0,1,1,14,3,4,80,23,2,22,7,1,10,No
30,241,7,3,1,2,1,48,2,1,2,2,2141,5348,1,1,0,12,3,2,80,6,2,6,4,1,1,No
45,1015,5,5,1,3,0,50,1,2,1,1,5769,23447,1,1,1,14,3,1,80,10,3,10,7,1,4,No
45,336,26,3,1,1,1,52,2,2,1,2,4385,24162,1,1,0,15,3,1,80,10,3,10,7,4,5,No
31,715,2,4,1,4,1,54,3,2,1,1,5332,21602,7,1,0,13,3,4,80,10,3,5,2,0,3,No
36,559,12,4,1,3,0,76,3,2,3,2,4663,12421,9,1,1,12,3,2,80,7,3,3,2,1,1,No
34,426,10,4,1,3,1,42,4,2,4,3,4724,17000,1,1,0,13,3,1,80,9,3,9,7,7,2,No
49,722,25,4,1,3,0,84,3,1,1,2,3211,22102,1,1,0,14,3,4,80,10,2,9,6,1,4,No
39,1387,10,5,1,2,1,76,3,2,1,2,5377,3835,2,1,0,13,3,4,80,10,3,7,7,7,7,No
27,1302,19,3,1,4,1,67,2,1,1,3,4066,16290,1,1,0,11,3,1,80,7,3,7,7,0,7,No
35,819,18,5,1,2,1,48,4,2,1,2,5208,26312,1,1,0,11,3,4,80,16,3,16,15,1,10,No
28,580,27,3,1,2,0,39,1,2,1,3,4877,20460,0,1,0,21,4,2,80,6,2,5,3,0,0,No
21,546,5,1,1,3,1,97,3,1,4,1,3117,26009,1,1,0,18,3,3,80,3,3,2,2,2,2,No
18,544,3,2,1,2,0,70,3,1,4,1,1569,18420,1,1,1,12,3,3,80,0,4,0,0,0,0,Yes
47,1176,26,4,1,4,0,98,3,5,3,2,19658,5220,3,1,0,11,3,3,80,27,3,5,2,1,0,No
39,170,3,2,1,3,1,76,2,2,3,3,3069,10302,0,1,0,15,3,4,80,11,3,10,8,0,7,No
40,884,15,3,1,1,0,80,2,3,3,2,10435,25800,1,1,0,13,3,4,80,18,3,18,15,14,12,No
35,208,8,4,1,3,0,52,3,2,3,2,4148,12250,1,1,0,12,3,4,80,15,3,14,11,2,9,No
37,671,19,3,1,3,1,85,3,2,3,2,5768,26493,3,1,0,17,3,1,80,9,2,4,3,0,2,No
39,711,4,3,1,1,0,81,3,2,3,1,5042,3140,0,1,0,13,3,4,80,10,1,9,2,3,8,No
45,1329,2,2,1,4,0,59,2,2,4,3,5770,5388,1,1,0,19,3,1,80,10,3,10,7,3,9,No
38,397,2,2,1,4,0,54,2,3,3,2,7756,14199,3,1,1,19,3,4,80,10,4,5,4,0,2,No
35,737,10,3,1,4,1,55,2,3,1,2,10306,21530,9,1,0,17,3,3,80,15,3,13,12,6,0,Yes
37,1470,10,3,1,2,0,71,3,1,2,2,3936,9953,1,1,0,11,3,1,80,8,1,8,4,7,7,No
40,448,16,3,1,3,0,84,3,3,4,1,7945,19948,6,1,1,15,3,4,80,18,2,4,2,3,3,No
44,602,1,5,1,1,1,37,3,2,4,2,5743,10503,4,1,1,11,3,3,80,14,3,10,7,0,2,No
48,365,4,5,1,3,1,89,2,4,4,2,15202,5602,2,1,0,25,4,2,80,23,3,2,2,2,2,No
35,763,15,2,1,1,1,59,1,2,4,3,5440,22098,6,1,1,14,3,4,80,7,2,2,2,2,2,Yes
24,567,2,1,1,1,0,32,3,1,4,1,3760,17218,1,1,1,13,3,3,80,6,3,6,3,1,3,No
27,486,8,3,1,2,0,86,4,1,3,2,3517,22490,7,1,0,17,3,1,80,5,3,3,2,0,2,No
27,591,2,3,1,4,1,87,3,1,4,1,2580,6297,2,1,0,13,3,3,80,6,2,4,2,1,2,No
40,1329,7,3,1,1,1,73,3,1,1,1,2166,3339,3,1,1,14,3,2,80,10,1,4,2,0,3,Yes
29,469,10,3,1,3,1,42,2,2,3,1,5869,23413,9,1,0,11,3,3,80,8,3,5,2,1,4,No
36,711,5,4,1,2,0,42,3,3,1,2,8008,22792,4,1,0,12,3,3,80,9,3,3,2,0,2,No
25,772,2,1,1,4,1,77,4,2,3,3,5206,4973,1,1,0,17,3,3,80,7,3,7,7,0,7,No
39,492,12,3,1,4,1,66,3,2,2,2,5295,7693,4,1,0,21,4,3,80,7,3,5,4,1,0,No
49,301,22,4,1,1,0,72,3,4,2,2,16413,3498,3,1,0,16,3,2,80,27,3,4,2,1,2,No
50,813,17,5,1,4,0,50,2,3,1,3,13269,21981,5,1,0,15,3,3,80,19,3,14,11,1,11,No
20,1141,2,3,1,3,0,31,3,1,3,1,2783,13251,1,1,0,19,3,1,80,2,3,2,2,2,2,No
34,1130,3,3,1,4,0,66,3,2,2,3,5433,19332,1,1,0,12,3,3,80,11,3,11,8,7,9,No
36,311,7,3,1,1,1,77,3,1,2,1,2013,10950,2,1,0,11,3,3,80,15,3,4,3,1,3,No
49,465,6,1,1,3,0,41,2,4,3,2,13966,11652,2,1,1,19,3,2,80,30,3,15,11,2,12,No
36,894,1,4,1,4,0,33,2,2,3,2,4374,15411,0,1,0,15,3,3,80,4,3,3,2,1,2,No
36,1040,3,2,1,4,1,79,4,2,1,3,6842,26308,6,1,0,20,4,1,80,13,3,5,4,0,4,No
54,584,22,5,1,2,0,91,3,4,3,2,17426,18685,3,1,0,25,4,3,80,36,3,10,8,4,7,No
43,1291,15,2,1,3,1,65,2,4,3,2,17603,3525,1,1,0,24,4,1,80,14,3,14,10,6,11,No
35,880,12,4,1,4,1,36,3,2,4,1,4581,10414,3,1,1,24,4,1,80,13,4,11,9,6,7,Yes
38,1189,1,3,1,4,1,90,3,2,4,2,4735,9867,7,1,0,15,3,4,80,19,4,13,11,2,9,No
29,991,5,3,1,1,1,43,2,2,2,3,4187,3356,1,1,1,13,3,2,80,10,2,10,0,0,9,No
33,392,2,4,1,4,1,93,3,2,4,3,5505,3921,1,1,0,14,3,3,80,6,3,6,2,0,4,No
32,977,2,3,1,4,1,45,3,2,2,3,5470,25518,0,1,0,13,3,3,80,10,2,9,5,1,6,No
31,1112,5,4,1,1,0,67,3,2,4,2,5476,22589,1,1,0,11,3,1,80,10,3,10,0,0,2,No
49,464,16,3,1,4,0,74,3,1,1,3,2587,24941,4,1,1,16,3,2,80,17,2,2,2,2,2,No
38,148,2,3,1,4,0,42,2,1,2,1,2440,23826,1,1,0,22,4,2,80,4,3,4,3,3,3,No
47,1225,2,4,1,2,0,47,4,4,2,3,15972,21086,6,1,0,14,3,3,80,29,3,3,2,1,2,No
49,809,1,3,1,3,1,36,3,4,3,1,15379,22384,4,1,0,14,3,1,80,23,3,8,7,0,0,No
41,1206,23,2,1,4,1,80,3,3,3,1,7082,11591,3,1,1,16,3,4,80,21,3,2,0,0,2,No
20,727,9,1,1,4,1,54,3,1,1,1,2728,21082,1,1,0,11,3,1,80,2,3,2,2,0,2,No
33,530,16,3,1,3,0,36,3,2,4,3,5368,16130,1,1,1,25,4,3,80,7,3,6,5,1,2,No
36,1351,26,4,1,1,1,80,3,2,3,2,5347,7419,6,1,0,14,3,2,80,10,2,3,2,0,2,No
44,528,1,3,1,3,0,44,3,1,4,3,3195,4167,4,1,1,18,3,1,80,8,3,2,2,2,2,No
23,1320,8,1,1,4,1,93,2,1,3,1,3989,20586,1,1,1,11,3,1,80,5,3,5,4,1,2,Yes
38,1495,4,2,1,4,0,87,3,1,3,2,3306,26176,7,1,0,19,3,4,80,7,2,0,0,0,0,No
53,1395,24,4,1,2,1,48,4,3,4,2,7005,3458,3,1,0,15,3,3,80,11,3,4,3,1,2,No
48,708,7,2,1,4,0,95,3,1,3,2,2655,11740,2,1,1,11,3,3,80,19,3,9,7,7,7,Yes
32,1259,2,4,1,4,1,95,3,1,2,1,1393,24852,1,1,0,12,3,1,80,1,3,1,0,0,0,Yes
26,786,7,3,1,4,1,76,3,1,4,1,2570,11925,1,1,0,20,4,3,80,7,3,7,7,5,7,No
55,1441,22,3,1,1,1,94,2,1,2,3,3537,23737,5,1,0,12,3,4,80,8,3,4,2,1,2,No
34,1157,5,2,1,2,1,57,2,2,4,2,3986,11912,1,1,0,14,3,3,80,15,4,15,10,4,13,No
60,370,1,4,1,3,1,92,1,3,4,3,10883,20467,3,1,0,20,4,3,80,19,4,1,0,0,0,No
33,267,21,3,1,2,1,79,4,1,2,2,2028,13637,1,1,0,18,3,4,80,14,3,14,11,2,13,No
37,1278,1,4,1,3,1,31,1,2,4,3,9525,7677,1,1,0,14,3,3,80,6,2,6,3,1,3,No
34,678,19,3,1,2,0,35,2,1,4,2,2929,20338,1,1,0,12,3,2,80,10,3,10,9,8,7,No
23,427,7,3,1,3,1,99,3,1,4,3,2275,25103,1,1,1,21,4,2,80,3,3,3,2,0,2,Yes
44,921,2,3,1,3,0,96,4,3,4,2,7879,14810,1,1,1,19,3,2,80,9,3,8,7,6,7,No
35,146,2,4,1,1,1,79,2,1,4,1,4930,13970,0,1,1,14,3,3,80,6,4,5,4,1,4,No
43,1179,2,3,1,4,1,73,3,2,4,2,7847,6069,1,1,1,17,3,1,80,10,3,10,9,8,8,No
24,581,9,3,1,3,1,62,4,1,3,2,4401,17616,1,1,0,16,3,4,80,5,3,5,3,0,4,No
41,918,6,3,1,4,1,35,3,3,3,1,9241,15869,1,1,0,12,3,2,80,10,3,10,8,8,7,No
29,1082,9,4,1,4,0,43,3,1,3,2,2974,25412,9,1,0,17,3,3,80,9,3,5,3,1,2,No
36,530,2,4,1,3,0,51,3,2,4,1,4502,7439,3,1,0,15,3,3,80,17,2,13,7,6,7,No
45,1238,1,1,1,3,1,74,2,3,3,2,10748,3395,3,1,0,23,4,4,80,25,2,23,15,14,4,No
24,240,22,1,1,4,1,58,1,1,3,2,1555,11585,1,1,0,11,3,3,80,1,3,1,0,0,0,Yes
47,1093,9,3,1,3,1,82,1,4,3,2,12936,24164,7,1,0,11,3,3,80,25,1,23,5,14,10,Yes
26,390,17,4,1,4,1,62,1,1,3,2,2305,6217,1,1,0,15,3,3,80,3,4,3,2,0,2,No
45,1005,28,2,1,4,0,48,2,4,2,1,16704,17119,1,1,0,11,3,3,80,21,3,21,6,8,6,No
32,585,10,3,1,1,1,56,3,1,3,2,3433,17360,6,1,0,13,3,1,80,10,2,5,2,1,3,No
31,741,2,4,1,2,1,69,3,1,3,2,3477,18103,1,1,0,14,3,4,80,6,4,5,2,0,3,No
41,552,4,3,1,3,1,60,1,2,2,2,6430,20794,6,1,0,19,3,2,80,10,3,3,2,1,2,No
40,369,8,2,1,2,0,92,3,2,1,2,6516,5041,2,1,1,16,3,2,80,18,3,1,0,0,0,No
24,506,29,1,1,2,1,91,3,1,1,3,3907,3622,1,1,0,13,3,2,80,6,4,6,2,1,2,No
46,717,13,4,1,3,1,34,3,2,2,1,5562,9697,6,1,0,14,3,4,80,19,3,10,7,0,9,No
35,1370,27,4,1,4,1,49,3,2,3,2,6883,5151,2,1,0,16,3,2,80,17,3,7,7,0,7,No
30,793,16,1,1,2,1,33,3,1,4,2,2862,3811,1,1,0,12,3,2,80,10,2,10,0,0,8,No
47,543,2,4,1,3,1,87,3,2,2,2,4978,3536,7,1,0,11,3,4,80,4,1,1,0,0,0,No
46,1277,2,3,1,3,1,74,3,3,4,3,10368,5596,4,1,1,12,3,2,80,13,2,10,6,0,3,No
36,1456,13,5,1,2,1,96,2,2,1,3,6134,8658,5,1,1,13,3,2,80,16,3,2,2,2,2,Yes
32,964,1,2,1,1,1,34,1,2,2,1,6735,12147,6,1,0,15,3,2,80,10,3,0,0,0,0,Yes
23,160,4,1,1,3,0,51,3,1,2,1,3295,12862,1,1,0,13,3,3,80,3,1,3,2,1,2,No
31,163,24,1,1,4,0,30,3,2,4,1,5238,6670,2,1,0,20,4,4,80,9,2,5,4,1,4,No
39,792,1,3,1,4,1,77,3,2,4,2,6472,8989,1,1,1,15,3,4,80,9,3,9,8,5,8,No
32,371,19,3,1,4,1,80,1,3,3,2,9610,3840,3,1,0,13,3,3,80,10,1,4,3,0,2,No
40,611,7,4,1,2,1,88,3,5,2,1,19833,4349,1,1,0,14,3,2,80,21,2,21,8,12,8,No
45,176,4,3,1,3,0,56,1,3,3,2,9756,6595,4,1,0,21,4,3,80,9,4,5,0,0,3,No
30,1312,2,4,1,4,0,78,2,1,1,1,4968,26427,0,1,0,16,3,4,80,10,3,9,7,0,7,No
24,897,10,3,1,1,1,59,3,1,4,2,2145,2097,0,1,0,14,3,4,80,3,3,2,2,2,1,No
30,600,8,3,1,3,0,66,2,1,4,3,2180,9732,6,1,0,11,3,3,80,6,2,4,2,1,2,Yes
31,1003,5,3,1,1,1,51,3,2,3,2,8346,20943,1,1,0,19,3,3,80,6,3,5,2,0,2,No
27,1054,8,3,1,3,0,67,3,1,4,1,3445,6152,1,1,0,11,3,3,80,6,2,6,2,1,4,No
29,428,9,3,1,2,0,52,1,1,2,1,2760,14630,1,1,0,13,3,3,80,2,3,2,2,2,2,Yes
29,461,1,3,1,4,1,70,4,2,3,1,6294,23060,8,1,1,12,3,4,80,10,4,3,2,0,2,No
30,979,15,2,1,3,1,94,2,3,1,3,7140,3088,2,1,0,11,3,1,80,12,3,7,7,1,7,No
34,181,2,4,1,4,1,97,4,1,4,2,2932,5586,0,1,1,14,3,1,80,6,3,5,0,1,2,No
33,1283,2,3,1,4,0,62,3,2,2,1,5147,10697,8,1,0,15,3,4,80,13,2,11,7,1,7,No
49,1313,11,4,1,4,0,80,3,2,4,1,4507,8191,3,1,0,12,3,3,80,8,4,5,1,0,4,No
33,211,16,3,1,1,0,74,3,3,1,1,8564,10092,2,1,1,20,4,3,80,11,2,0,0,0,0,Yes
38,594,2,2,1,3,0,75,2,1,2,2,2468,15963,4,1,0,14,3,2,80,9,2,6,1,0,5,No
31,1079,16,4,1,1,1,70,3,3,3,2,8161,19002,2,1,0,13,3,1,80,10,3,1,0,0,0,Yes
29,590,4,3,1,4,0,91,2,1,1,3,2109,10007,1,1,0,13,3,3,80,1,3,1,0,0,0,No
30,305,16,3,1,3,1,58,4,2,3,2,5294,9128,3,1,0,16,3,3,80,10,3,7,0,1,7,No
32,953,5,4,1,2,1,65,3,1,2,1,2718,17674,2,1,0,14,3,2,80,12,3,7,7,0,7,No
38,833,18,3,1,2,1,60,1,2,4,2,5811,24539,3,1,1,16,3,3,80,15,3,1,0,1,0,No
43,807,17,3,1,3,1,38,2,1,3,2,2437,15587,9,1,1,16,3,4,80,6,3,1,0,0,0,Yes
42,855,12,3,1,2,1,57,3,1,2,3,2766,8952,8,1,0,22,4,2,80,7,2,5,3,0,4,No
55,478,2,3,1,3,1,60,2,5,1,2,19038,19805,8,1,0,12,3,2,80,34,3,1,0,0,0,No
33,775,4,3,1,4,1,90,3,2,2,3,3055,6194,5,1,0,15,3,4,80,11,2,9,8,1,7,No
41,548,9,4,1,3,1,94,3,1,1,3,2289,20520,1,1,0,20,4,2,80,5,3,5,3,0,4,No
34,1375,10,3,1,4,1,87,3,2,3,3,4001,12313,1,1,1,14,3,3,80,15,3,15,14,0,7,No
